rep_sitc,rep,country,sitc,sitc_desc,BI2000,BIS2000,BI2005,BIS2005,BI2010,BIS2010,BI2015,BIS2015,BI2020,BIS2020,BI2021,BIS2021,BI2022,BIS2022,BI2023,BIS2023
620098,620,Portugal,098,"Edible products and preparations, nes",.7977494,-.11250211,.73222637,-.15458351,.86716658,-.071141712,.85804844,-.076398201,1.0112132,.0055753333,1.0627235,.030408107,1.0425346,.020824416,,
620111,620,Portugal,111,"Non-alcoholic beverages, nes",1.0744047,.035867985,1.4470036,.18267386,1.9947933,.33217427,1.7650837,.2766946,1.1988702,.090441987,1.5513192,.21609183,1.559396,.21856564,,
620112,620,Portugal,112,Alcoholic beverages,4.0518131,.60410255,3.7709832,.58079922,4.7559237,.65253186,4.3707867,.62761509,3.7942374,.58283252,3.5891654,.56419092,2.6026058,.44484627,,
620121,620,Portugal,121,Tobacco unmanufactured; tobacco refuse,.21751197,-.64269435,.23393014,-.62083733,2.7646713,.46874511,2.7465813,.46618,.29062188,-.54964054,.23536655,-.61895269,.2745904,-.56913155,,
620122,620,Portugal,122,"Tobacco, manufactured",.76414955,-.13369073,4.2661486,.62021583,3.5277987,.55828422,6.4025836,.72982407,7.2022786,.75616533,7.6913052,.76988494,7.3206224,.75963336,,
620211,620,Portugal,211,"Hides and skins, excluding furs, raw",.27372172,-.57020169,.5285356,-.30844188,.68257201,-.1886564,.84232163,-.085586771,.026737353,-.94791782,.066886581,-.87461352,.063917585,-.87984484,,
620212,620,Portugal,212,"Furskins, raw",.070454761,-.86836481,.043802485,-.9160713,.15380926,-.73338872,.023673493,-.95374799,.16243649,-.72052413,.58533484,-.26156315,.20960389,-.65343386,,
620222,620,Portugal,222,"Seeds and oleaginous fruit, whole or broken, for 'soft' fixed oil",.030947553,-.93996292,.011367322,-.97752088,.21630339,-.64432657,.095928125,-.82493722,.035594415,-.93125802,.03861168,-.9256475,.016872883,-.96681416,,
620223,620,Portugal,223,"Seeds and oleaginous fruit, whole or broken, for other fixed oils",2.5225062,.43222243,1.7965347,.28482917,1.2352527,.1052466,1.7932025,.28397602,1.5730201,.22270331,1.644359,.24367304,1.2138777,.096607722,,
620232,620,Portugal,232,Natural rubber latex; rubber and gums,.012500719,-.97530723,.0030145433,-.99398905,.033411946,-.93533665,.018891506,-.96291751,.077877812,-.8554979,.12987655,-.77010489,.074232839,-.86179376,,
620233,620,Portugal,233,"Synthetic rubber, latex, etc; waste, scrap of unhardened rubber",.082401335,-.84774345,.12360597,-.7799834,.20785306,-.65583056,.18421644,-.68888044,1.0697663,.033707324,3.1645832,.51975989,3.5742009,.56276518,,
